experiment,user_type,policy,alpha_mix,episode,explained,modality,scope,detail,utility,oracle_utility,regret,curiosity,explanation_cost,feedback_modality,feedback_scope,feedback_detail
1,ContextHungry,NE,,0,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,1,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,2,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,3,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,4,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,5,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,6,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,7,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,8,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,9,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,10,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,11,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,12,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,13,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,14,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,15,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,16,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,17,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,18,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,19,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,20,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,21,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,22,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,23,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,24,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,25,0,0,0,0,0.0,0.6499999999999999,0.6499999999999999,0.0,0.0,0,0,0
1,ContextHungry,NE,,26,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,27,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,28,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,29,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
1,ContextHungry,NE,,30,0,0,0,0,-1.8,0.6499999999999999,2.45,1.8,0.0,0,0,0
