experiment,user_type,policy,alpha_mix,episode,explained,modality,scope,detail,utility,oracle_utility,regret,curiosity,explanation_cost,feedback_modality,feedback_scope,feedback_detail
1,Minimalist,NE,,0,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,1,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,2,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,3,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,4,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,5,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,6,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,7,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,8,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,9,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,10,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,11,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,12,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,13,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,14,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,15,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,16,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,17,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,18,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,19,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,20,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,21,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,22,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,23,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,24,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,25,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,26,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,27,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,28,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,29,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,30,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,31,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,32,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,33,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,34,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,35,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,36,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,37,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,38,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,39,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,40,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
1,Minimalist,NE,,41,0,0,0,0,0.0,1.25,1.25,0.0,0.0,0,0,0
1,Minimalist,NE,,42,0,0,0,0,-0.2,1.25,1.45,0.2,0.0,0,0,0
