experiment,user_type,policy,alpha_mix,episode,explained,modality,scope,detail,utility,oracle_utility,regret,curiosity,explanation_cost,feedback_modality,feedback_scope,feedback_detail
1,VisualLearner,NE,,0,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,1,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,2,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,3,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,4,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,5,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,6,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,7,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,8,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,9,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NE,,10,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NE,,11,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,12,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,13,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,14,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,15,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NE,,16,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,17,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,18,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,19,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,20,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,21,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,22,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,23,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,24,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,25,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,26,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NE,,27,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,28,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,29,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,30,0,0,0,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NE,,31,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,32,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,33,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
1,VisualLearner,NE,,34,0,0,0,0,-1.2,0.95,2.15,1.2,0.0,0,0,0
