experiment,user_type,policy,mean_utility,std_utility,mean_alignment,mean_curiosity,mean_expl_load
2,Minimalist,NE,2.0230000000000006,0.08349251463454677,0.741,0.2,0.0
2,ContextHungry,NE,-0.654,0.12117755567760884,0.38200000000000006,1.7999999999999996,0.0
2,VisualLearner,NE,-0.017999999999999978,0.11329607230614838,0.394,1.2,0.0
2,NormFollower,NE,-0.10799999999999992,0.14985326155943351,0.43066666666666664,1.4,0.0
2,Minimalist,AE,-0.9570000000000001,0.10719608201795436,0.3476666666666667,0.0,2.0
2,ContextHungry,AE,0.08399999999999999,0.09624967532412772,0.6946666666666667,0.0,2.0
2,VisualLearner,AE,0.07500000000000002,0.063521649852629,0.6916666666666667,0.0,2.0
2,NormFollower,AE,-0.024,0.12026637102698329,0.6586666666666667,0.0,2.0
2,Minimalist,NO,-0.030000000000000006,0.1205819223598629,0.514,0.0,1.5719999999999998
2,ContextHungry,NO,0.14500000000000005,0.13369741957120937,0.576,0.0,1.5829999999999997
2,VisualLearner,NO,0.09100000000000001,0.13228378585450298,0.5469999999999999,0.0,1.55
2,NormFollower,NO,0.12600000000000003,0.1368356678647786,0.5596666666666666,0.0,1.553
2,Minimalist,PO,-0.022999999999999996,0.17184586116633707,0.5183333333333333,0.0,1.5779999999999998
2,ContextHungry,PO,0.15200000000000002,0.12936769303036982,0.5736666666666667,0.0,1.569
2,VisualLearner,PO,0.15,0.16858232410309212,0.5673333333333334,0.0,1.5519999999999998
2,NormFollower,PO,0.163,0.1217004519301387,0.5780000000000001,0.0,1.5710000000000002
2,Minimalist,BA,0.833,0.09105492847726586,0.611,0.0,1.0
2,ContextHungry,BA,0.4900000000000001,0.1501332741266905,0.4966666666666667,0.0,1.0
2,VisualLearner,BA,0.6849999999999999,0.22968456630779527,0.5616666666666666,0.0,1.0
2,NormFollower,BA,0.6060000000000001,0.1368356678647786,0.5353333333333333,0.0,1.0
