experiment,user_type,policy,alpha_mix,episodes,rep,final_regret
3,Minimalist,NE,,10,0,1.45
3,Minimalist,NE,,10,1,1.45
3,Minimalist,NE,,10,2,1.45
3,Minimalist,NE,,10,3,1.25
3,Minimalist,NE,,10,4,1.45
3,Minimalist,NE,,10,5,1.45
3,Minimalist,NE,,10,6,1.25
3,Minimalist,NE,,10,7,1.45
3,Minimalist,NE,,10,8,1.45
3,Minimalist,NE,,10,9,1.45
3,Minimalist,NE,,10,10,1.45
3,Minimalist,NE,,10,11,1.45
3,Minimalist,NE,,10,12,1.25
3,Minimalist,NE,,10,13,1.45
3,Minimalist,NE,,10,14,1.45
3,Minimalist,NE,,10,15,1.45
3,Minimalist,NE,,10,16,1.45
3,Minimalist,NE,,10,17,1.25
3,Minimalist,NE,,10,18,1.45
3,Minimalist,NE,,10,19,1.45
3,Minimalist,NE,,10,20,1.45
3,Minimalist,NE,,10,21,1.45
3,Minimalist,NE,,10,22,1.45
3,Minimalist,NE,,10,23,1.25
3,Minimalist,NE,,10,24,1.45
3,Minimalist,NE,,10,25,1.25
3,Minimalist,NE,,10,26,1.25
3,Minimalist,NE,,10,27,1.25
3,Minimalist,NE,,10,28,1.45
3,Minimalist,NE,,10,29,1.45
3,Minimalist,NE,,25,0,1.25
3,Minimalist,NE,,25,1,1.45
3,Minimalist,NE,,25,2,1.45
3,Minimalist,NE,,25,3,1.45
3,Minimalist,NE,,25,4,1.25
3,Minimalist,NE,,25,5,1.45
3,Minimalist,NE,,25,6,1.25
3,Minimalist,NE,,25,7,1.25
3,Minimalist,NE,,25,8,1.45
3,Minimalist,NE,,25,9,1.45
3,Minimalist,NE,,25,10,1.45
3,Minimalist,NE,,25,11,1.45
3,Minimalist,NE,,25,12,1.45
3,Minimalist,NE,,25,13,1.45
3,Minimalist,NE,,25,14,1.45
3,Minimalist,NE,,25,15,1.45
3,Minimalist,NE,,25,16,1.45
3,Minimalist,NE,,25,17,1.25
3,Minimalist,NE,,25,18,1.45
3,Minimalist,NE,,25,19,1.45
3,Minimalist,NE,,25,20,1.25
3,Minimalist,NE,,25,21,1.45
3,Minimalist,NE,,25,22,1.45
3,Minimalist,NE,,25,23,1.45
3,Minimalist,NE,,25,24,1.45
3,Minimalist,NE,,25,25,1.45
3,Minimalist,NE,,25,26,1.45
3,Minimalist,NE,,25,27,1.45
3,Minimalist,NE,,25,28,1.45
3,Minimalist,NE,,25,29,1.45
3,Minimalist,NE,,50,0,1.45
3,Minimalist,NE,,50,1,1.45
3,Minimalist,NE,,50,2,1.45
3,Minimalist,NE,,50,3,1.45
3,Minimalist,NE,,50,4,1.45
3,Minimalist,NE,,50,5,1.25
3,Minimalist,NE,,50,6,1.25
3,Minimalist,NE,,50,7,1.45
3,Minimalist,NE,,50,8,1.45
3,Minimalist,NE,,50,9,1.45
3,Minimalist,NE,,50,10,1.45
3,Minimalist,NE,,50,11,1.45
3,Minimalist,NE,,50,12,1.45
3,Minimalist,NE,,50,13,1.45
3,Minimalist,NE,,50,14,1.45
3,Minimalist,NE,,50,15,1.45
3,Minimalist,NE,,50,16,1.25
3,Minimalist,NE,,50,17,1.45
3,Minimalist,NE,,50,18,1.25
3,Minimalist,NE,,50,19,1.45
3,Minimalist,NE,,50,20,1.45
3,Minimalist,NE,,50,21,1.45
3,Minimalist,NE,,50,22,1.45
3,Minimalist,NE,,50,23,1.45
3,Minimalist,NE,,50,24,1.25
3,Minimalist,NE,,50,25,1.25
3,Minimalist,NE,,50,26,1.45
3,Minimalist,NE,,50,27,1.45
3,Minimalist,NE,,50,28,1.25
3,Minimalist,NE,,50,29,1.45
3,Minimalist,NE,,100,0,1.45
3,Minimalist,NE,,100,1,1.45
3,Minimalist,NE,,100,2,1.25
3,Minimalist,NE,,100,3,1.25
3,Minimalist,NE,,100,4,1.45
3,Minimalist,NE,,100,5,1.45
3,Minimalist,NE,,100,6,1.25
3,Minimalist,NE,,100,7,1.45
3,Minimalist,NE,,100,8,1.45
3,Minimalist,NE,,100,9,1.45
3,Minimalist,NE,,100,10,1.45
3,Minimalist,NE,,100,11,1.25
3,Minimalist,NE,,100,12,1.45
3,Minimalist,NE,,100,13,1.45
3,Minimalist,NE,,100,14,1.45
3,Minimalist,NE,,100,15,1.25
3,Minimalist,NE,,100,16,1.45
3,Minimalist,NE,,100,17,1.45
3,Minimalist,NE,,100,18,1.45
3,Minimalist,NE,,100,19,1.45
3,Minimalist,NE,,100,20,1.25
3,Minimalist,NE,,100,21,1.45
3,Minimalist,NE,,100,22,1.45
3,Minimalist,NE,,100,23,1.45
3,Minimalist,NE,,100,24,1.45
3,Minimalist,NE,,100,25,1.45
3,Minimalist,NE,,100,26,1.45
3,Minimalist,NE,,100,27,1.45
3,Minimalist,NE,,100,28,1.45
3,Minimalist,NE,,100,29,1.25
3,Minimalist,AE,,10,0,2.2
3,Minimalist,AE,,10,1,2.2
3,Minimalist,AE,,10,2,2.2
3,Minimalist,AE,,10,3,2.2
3,Minimalist,AE,,10,4,2.2
3,Minimalist,AE,,10,5,2.2
3,Minimalist,AE,,10,6,2.2
3,Minimalist,AE,,10,7,2.2
3,Minimalist,AE,,10,8,2.2
3,Minimalist,AE,,10,9,2.2
3,Minimalist,AE,,10,10,2.2
3,Minimalist,AE,,10,11,2.2
3,Minimalist,AE,,10,12,2.2
3,Minimalist,AE,,10,13,2.2
3,Minimalist,AE,,10,14,2.2
3,Minimalist,AE,,10,15,2.2
3,Minimalist,AE,,10,16,2.2
3,Minimalist,AE,,10,17,2.2
3,Minimalist,AE,,10,18,2.2
3,Minimalist,AE,,10,19,2.2
3,Minimalist,AE,,10,20,2.2
3,Minimalist,AE,,10,21,2.2
3,Minimalist,AE,,10,22,2.2
3,Minimalist,AE,,10,23,2.2
3,Minimalist,AE,,10,24,2.2
3,Minimalist,AE,,10,25,2.2
3,Minimalist,AE,,10,26,2.2
3,Minimalist,AE,,10,27,2.2
3,Minimalist,AE,,10,28,2.2
3,Minimalist,AE,,10,29,2.2
3,Minimalist,AE,,25,0,2.2
3,Minimalist,AE,,25,1,2.2
3,Minimalist,AE,,25,2,2.2
3,Minimalist,AE,,25,3,2.2
3,Minimalist,AE,,25,4,2.2
3,Minimalist,AE,,25,5,2.2
3,Minimalist,AE,,25,6,2.2
3,Minimalist,AE,,25,7,2.2
3,Minimalist,AE,,25,8,2.2
3,Minimalist,AE,,25,9,2.2
3,Minimalist,AE,,25,10,2.2
3,Minimalist,AE,,25,11,2.2
3,Minimalist,AE,,25,12,2.2
3,Minimalist,AE,,25,13,2.2
3,Minimalist,AE,,25,14,2.2
3,Minimalist,AE,,25,15,2.2
3,Minimalist,AE,,25,16,2.2
